player_id,player,team,pos,gp,min,pts,reb,ast,stl,blk,fgm,fga,fg3m,ftm,tov,fpts
1631110,Jeremy Sochan,SAS,Forward,54,25.3,11.4,6.5,2.4,0.8,0.5,4.6,8.7,0.5,1.6,1.6,32.82
1642274,Yves Missi,NOP,Center,73,26.8,9.1,8.2,1.4,0.5,1.3,3.7,6.7,0.0,1.7,1.1,32.75
1641711,Gradey Dick,TOR,Guard-Forward,54,29.4,14.4,3.6,1.8,0.9,0.2,4.9,12.0,2.1,2.5,1.5,32.75
202685,Jonas Valančiūnas,SAC,Center,81,18.8,10.4,7.7,2.0,0.5,0.6,4.3,7.7,0.1,1.8,1.5,32.7
1628415,Dillon Brooks,HOU,Guard-Forward,75,31.8,14.0,3.7,1.7,0.8,0.2,5.1,11.9,2.5,1.3,1.0,32.62
1642272,Jared McCain,PHI,Guard,23,25.7,15.3,2.4,2.6,0.7,0.0,5.5,11.9,2.2,2.1,1.6,32.45
1630703,Scoot Henderson,POR,Guard,66,26.7,12.7,3.0,5.1,1.0,0.2,4.3,10.4,1.6,2.4,2.7,32.45
1641744,Zach Edey,MEM,Center,66,21.5,9.2,8.3,1.0,0.5,1.3,3.8,6.6,0.3,1.4,1.3,32.44
1627747,Caris LeVert,ATL,Guard,64,24.9,12.1,3.2,3.4,0.9,0.5,4.4,9.4,1.7,1.7,1.2,32.14
203994,Jusuf Nurkić,CHA,Center,51,20.8,8.9,7.8,2.3,0.8,0.7,3.3,6.9,0.6,1.7,1.9,31.99
1627763,Malcolm Brogdon,WAS,Guard,24,23.5,12.7,3.8,4.1,0.5,0.2,4.3,10.0,0.7,3.4,1.6,31.98
201143,Al Horford,BOS,Center-Forward,60,27.6,9.0,6.2,2.1,0.6,0.9,3.3,7.7,1.9,0.6,0.8,31.79
203991,Clint Capela,ATL,Center,55,21.4,8.9,8.5,1.1,0.6,1.0,4.0,7.1,0.0,0.9,0.9,31.73
1629684,Grant Williams,CHA,Forward,16,29.9,10.4,5.1,2.3,1.1,0.8,3.4,7.7,1.7,1.9,1.8,31.66
203114,Khris Middleton,WAS,Forward,37,22.8,11.9,3.7,4.1,0.9,0.2,4.3,9.1,1.3,1.9,1.5,31.63
1630529,Herbert Jones,NOP,Forward,20,32.4,10.3,3.9,3.3,1.9,0.5,3.8,8.6,1.1,1.7,1.8,31.58
1642276,Kel'el Ware,MIA,Center,64,22.2,9.3,7.4,0.9,0.6,1.1,4.0,7.3,0.5,0.7,0.9,31.5
1628976,Wendell Carter Jr.,ORL,Center-Forward,68,25.9,9.1,7.2,2.0,0.8,0.6,3.3,7.2,0.5,1.9,1.1,31.31
1629021,Moritz Wagner,ORL,Forward-Center,30,18.8,12.9,4.9,1.4,0.8,0.4,4.7,8.3,0.9,2.6,1.6,31.24
1641709,Ausar Thompson,DET,Guard-Forward,59,22.5,10.1,5.1,2.3,1.7,0.7,4.2,7.8,0.2,1.5,1.4,31.22
1627824,Guerschon Yabusele,PHI,Forward,70,27.1,11.0,5.6,2.1,0.8,0.3,4.0,8.0,1.5,1.4,1.2,31.17
1630208,Nick Richards,PHX,Center,57,22.0,9.3,8.2,0.9,0.2,1.0,3.6,6.1,0.0,2.1,1.4,31.04
